Document ID,Year,Source,DOI,Title,Abstract,Abstract word count,Author keywords,Index keywords,Topic probability
299,2026,Project Management Journal,10.1177/87569728251366620,Who Is Shaping the Narrative? Unveiling Stakeholder Engagement Behavior in Megaprojects on Social Media,"Social media has become a key platform for various megaproject stakeholders to express opinions and shape public discourse. Yet, how these stakeholders engage in digital spaces remains underexplored. To address this gap, this study proposes a systematic framework to examine stakeholder engagement behaviors on social media, focusing on engagement intensity, posting influence, and framing strategies. For illustration purposes, the framework is applied to the analysis of Weibo posts about the Hong Kong–Zhuhai–Macao Bridge in China. Results show that stakeholder engagement patterns varied across project phases: News media exhibited the highest engagement during construction, the general public became more active during the opening stage, and government organizations led engagement in the operation phase. News media accounts also produced the majority of influential posts, highlighting their critical role in shaping public discourse. Across all phases, attribute framing, news framing, and situation framing emerged as the most common strategies, emphasizing the project’s technical and symbolic significance. These findings not only deepen our understanding of stakeholder dynamics but also provide practical guidance for managing online stakeholder engagement behaviors across different stages of large-scale megaprojects. © 2025 Project Management Institute, Inc.",186,megaproject; public opinion; social media mining; stakeholder engagement,,0.14688953462302232
303,2025,Journalism and Media,10.3390/journalmedia6020084,“Hands off Russian Schools”: How Do Online Media Portray the Linguistic Landscape of Protests Against Minority Education Reform in Latvia?,"Latvia after the collapse of the Soviet Union regained its independence in 1991. Since then, many political and social reforms have been introduced, minority education among them. Latvia began gradually abandoning the use of minority languages as mediums of instruction and switching to teaching exclusively in Latvian as the sole state language. This caused protests by minority groups, especially by Russians—the largest minority group in Latvia. The article examines 77 online news articles by Latvian, Russian, and European media covering protests against minority education reform in Latvia between 2004 and 2024. Each news article used at least one photograph/video of placard(s) with written information from the protests. The aim of the article is to understand how different media represent the linguistic landscape of protests against minority education reform and what are the main discourses they create and maintain regarding to the linguistic landscape of such protests in Latvia. The description of the linguistic landscapes shows three main trends: (1) only journalists (most often anonymous) describe the written information expressed at the protests, (2) emphasis is on the number of placard holders at the protests, their age and affiliation with minority support organizations and political parties, (3) author(s) quote individual slogans, more often demonstrated from one protest to another, without disclosing in which language they were originally written and what problems (within and behind the language education) they highlight or conceal. The main narratives that are reinforced through the descriptions of the linguistic landscapes included in the articles are two: (1) the Russian community is united and persistent in the fight against the ethnolinguistically unjust education policy pursued by the government, and (2) students, parents, and the Russian community should have the right to choose which educational program to study at school. © 2025 by the author.",296,Latvia; linguistic landscape; minority education reform; protests; the Russian language; the state language,,0.057588881251221
337,2025,Sustainability (Switzerland),10.3390/su17219519,El Sistema: Music for Sustainability Goals and Education,"This study examines how El Sistema, a global social music education program active in over 60 countries, contributes to the United Nations Sustainable Development Goals (SDGs). The program is analyzed using Sheerens’ CIPO (Context–Input–Process–Output) framework, which enables comprehensive evaluation of education from design and implementation to outcomes beyond simple result-focused assessment. The framework also accounts for political, social, and economic contexts, making it effective for understanding country-specific cases. Using this approach, this study analyzed how El Sistema has been localized across five representative case countries—Scotland, the United States, Sweden, Republic of Korea, and Japan. Data were collected through a narrative review integrating academic studies and credible non-academic sources, including government and organizational reports, program brochures, official websites, news articles, and multimedia materials. Findings indicate alignment with SDGs 1, 3, 4, 5, 8, 10, 11, 16, and 17. Country-specific strategies include community engagement in Scotland (SDG 17), partnerships in the United States (SDG 17), immigrant integration in Sweden (SDGs 11, 16), inclusive music education and cultural revitalization in the Republic of Korea (SDGs 11, 16, 17), and quality and healing education for disaster-affected and disabled children in Japan (SDG 11). These results suggest that El Sistema can serve as a sustainable model of social music education when supported by localized strategies, stable resources, multi-level governance, systematic evaluation, and proactive engagement with environmental initiatives. © 2025 by the authors.",227,El Sistema; social music education; sustainable development goals,Japan; Scotland; South Korea; Sweden; United Kingdom; United States; design; education; immigrant; multimedia; music; organization; Sustainable Development Goal; United Nations,0.04978422260512806
340,2026,Discover Global Society,10.1007/s44282-026-00337-2,Fight against disinformation and fact-checking in Bangladesh’s July 2024 uprising: the digital battlefields,"The Bangladesh Uprising of July 2024 was a critical period in the country’s political trajectory, synonymous with mass mobilization, regime overthrow, and an unprecedented information blackout. This research explores the pivotal contribution of digital disinformation to the course and perceptions of the revolution. To that end, in addition to a quantitative content and sentiment analysis, we combine this with qualitative interviews, looking specifically at how misinformation was shared, amplified, and debunked across digital platforms. This study draws on 112 verified fact-checking reports, 87 news articles, and 15 semi-structured interviews with journalists, fact-checkers, and digital rights activists to examine how politically charged disinformation shaped the July 2024 protests in Bangladesh. Findings reveal a surge in coordinated campaigns amplified through social media echo chambers, influencing protest narratives and public trust. Although local fact-checking grew rapidly, structural challenges of limited resources limited their effects, which worsened with algorithm amplifications, low media literacy, and partisan mistrust. The article locates these dynamics of disinformation in the context of more general problems of media regulation, political polarization, and digital infrastructures in transitional democracies. It calls for a multi-pronged solution, including institutional reform, algorithmic accountability, and continued digital literacy investments. Through the lens of Bangladesh’s July 2024 crisis, the study adds to the global conversation on disinformation in crony-authoritarianism and underscores the critical nature of context-sensitive verification systems in the Global South. © The Author(s) 2026.",229,Bangladesh 2.0; Digital propaganda; Disinformation; Fact-Checking; July uprising 2024; Media literacy,,0.12190683492734745
348,2026,Journal of African Films and Diaspora Studies,10.31920/2516-2713/2026/v9n1a8,Bollywood’s Bad Guys: Deconstructing the Representation of Criminality and Justice in Popular Indian Cinema,"This study analyses the evolving portrayal of criminality and justice in popular Indian cinema. It looks at how the cinematic villain has transformed from a simple archetype to a more complex character that reflects and shapes societal attitudes toward law and justice. The research is anchored in social learning theory, which posits that individuals acquire behaviours by observing and imitating others. This framework helps explain how films, as a powerful source of observational learning, can influence public perceptions of criminal behaviour. It utilised a qualitative, descriptive approach to blend secondary data from academic papers, news articles, and film reviews. Thematic analysis was employed to identify recurring themes and patterns in the representation of crime and justice in Bollywood films. The findings reveal a clear evolution of the villain from a one-dimensional figure in the golden era to a refined and multi-dimensional antagonist today. This shift has led to the romanticisation of the antihero, who is celebrated for challenging a corrupt system. The portrayal of the formal justice system as inefficient has normalised and glorified extra-legal vigilantism. In conclusion, this cinematic trend creates a situation that both reflects and reinforces public frustration. The study recommends that filmmakers adopt more refined and responsible portrayals of justice while encouraging audiences to develop greater media literacy to meaningfully engage with these narratives. © 2026 Adonis and Abbey Publishers Ltd. All rights reserved.",228,Anti-hero; Bollywood; Cinematic villains; Crime; Justice; Social learning; Vigilantism,,0.044593018433271334
391,2023,"Media, War and Conflict",10.1177/17506352221101273,Ringing true? The persuasiveness of Russian strategic narratives,"International Relations (IR) scholars have theorized the significance of communication and messaging across state borders, using notions such as soft power, sharp power, propaganda and illiberal communication. This study contributes to this body of research by investigating narrative persuasiveness by way of a large-scale experimental exploration of narrative reception. The projection of strategic narratives has become a central feature of modern influencing across borders. Despite the existence of a growing literature on the potentially harmful effects of such narratives, however, their persuasiveness remains under-researched. This article seeks to help fill this gap by asking what might induce people in Sweden to side with strategic narratives projected by Sputnik, the Russian state-funded news media platform. The article puts a central component of Walter Fisher’s classic narrative paradigm to the test: the notions of narrative probability (consistency and coherence) and fidelity (previous life experience). In a rare large-scale survey experiment (N = 2,032), three narratives from Sputnik were presented to respondents to establish the potential perceived narrative probability and fidelity. Contrary to Fisher’s argument and some previous works on strategic narratives, the results show that people can be persuaded by a narrative without having personal experience of the topic, and despite regarding the text as incoherent. This indicates that information influence projected through strategic narratives can be effective regardless of the form of the message and even when introducing unfamiliar ideas. This is an interesting addition to findings in previous studies that source awareness does not negatively affect the effectiveness of strategic narratives. The article ends by highlighting contributions to previous research on persuasion and by suggesting avenues ahead. © The Author(s) 2022.",271,malign information influence; narrative fidelity; narrative probability; reception; Russia; Sputnik; strategic narratives,,0.11800048168204702
407,2022,Australian Journalism Review,10.1386/ajr_00091_7,Consumers and commodification: The marketization of aged care in the Australian press,"This article explores links between the Australian press and the marketization of aged care in Australia. By using critical discourse analysis as a research tool, and a data set of 61 news articles from eight mainstream Australian newspapers published in April 2012 and August 2013, this article argues that dominant discourses around ageing in the sampled newspapers are in the language of economic rationalism, and aged care is constructed as a commodity. Elderly people are constructed mainly as consumers of aged care, reflecting and reinforcing official narratives towards the marketization of care. The study from which this article is drawn found that most Australian journalists not only relayed official messages about the commodification of aged care without critical engagement, but also included few opposing opinions. © 2022 Intellect Ltd Emerging Scholars.",131,aged care; ageing; discourse analysis; elderly people; journalists; marketization,,0.06630401826588987
409,2024,Global Media and China,10.1177/20594364241232757,(Pragmatic) collaboration for progress or threat to autonomy? African news discourses about Chinese technology in Nigeria and Ghana,"This study explores how African news media frame China’s role in digital technology. China’s engagement in Africa is portrayed as an ambiguous trend by Western media, which point to risks of Chinese influence. Themes of exploitation and support for autocratic regimes are common in media narratives about Chinese-African collaborations. Yet claims that China pursues a neo-colonial project in Africa seem exaggerated. While Chinese geopolitical ambitions drive its foreign policy decisions, African actors often appear absent from these discussions. African perceptions and assessments of China are nuanced, indicating a complex relationship. They point to benefits and risks with China as an economic, political, and cultural partner. It is crucial to analyze local contexts where stakeholders “get to speak” about China and technology, offering interpretative frameworks and engaging with opposing perspectives. News media are vital sites where technology narratives are conceived and circulated. The present study analyses Nigerian and Ghanaian news media as examples. Both countries share a complex history of development collaboration with China. Using a news framing approach linked to sociotechnical imageries, the study focuses on how African media discourses give meaning to digital technology and assess it in relation to foreign partners, including geopolitical implications in the Global South. © The Author(s) 2024.",204,Africa; neo-colonialism; news framing; news media; tech discourses,,0.030282901728268256
432,2023,IEEE Transactions on Computational Social Systems,10.1109/TCSS.2022.3171391,Comparing the Impact of Social Media Regulations on News Consumption,"Users online tend to consume information adhering to their system of beliefs and ignore dissenting information. During the COVID-19 pandemic, users get exposed to a massive amount of information about a new topic having a high level of uncertainty. In this article, we analyze two social media that enforced opposite moderation methods, Twitter and Gab, to assess the interplay between news consumption and content regulation concerning COVID-19. We compare the two platforms on about three million pieces of content, analyzing user interaction with respect to news articles. We first describe users' consumption patterns on the two platforms focusing on the political leaning of news outlets. Finally, we characterize the echo chamber effect by modeling the dynamics of users' interaction networks. Our results show that the presence of moderation pursued by Twitter produces a significant reduction of questionable content, with a consequent affiliation toward reliable sources in terms of engagement and comments. Conversely, the lack of clear regulation on Gab results in the tendency of the user to engage with both types of content, showing a slight preference for the questionable ones which may account for a dissing/endorsement behavior. Twitter users show segregation toward reliable content with a uniform narrative. Gab, instead, offers a more heterogeneous structure where users, independent of their leaning, follow people who are slightly polarized toward questionable news. © 2014 IEEE.",224,COVID-19; echo chambers; fake news; news consumption; social media,Blogs; Fake detection; Social networking (online); User profile; Echo chamber; Fake news; News consumption; Pandemic; Regulation; Social media; Social medium.; Social networking (online); User interaction; COVID-19,0.023850084748350556
443,2024,Nursing Ethics,10.1177/09697330241263991,Educational approach for public health ethics in nursing: Focusing on COVID-19,"Background: With the increasing ethical challenges and dilemmas faced by nurses due to various disasters such as COVID-19 worldwide, there is a need for a new public health ethics education curriculum to strengthen competencies for ethical responses in the nursing field. Objectives: This study was aimed to identify the impact of a teaching method utilizing news articles and panel discussion material in the public health ethics education program on nursing students’ thinking regarding ethical issues. Design: This was an exploratory study to identify the thinking styles inherent in ethical reflection by analyzing the reflection contents written by nursing students using text mining techniques. Participants: 73 among the students taking a nursing ethics course at a university in Seoul, South Korea, voluntarily participated in this study after providing informed consent. Methods: The public health ethics program was conducted with sessions held once a week for a total of 7 weeks, and reflections written by nursing students were collected as text files during session 5 to 7. In this study, data preprocessing process, keyword analysis, and LDA topic modeling were sequentially conducted utilizing the R program according to the data analysis procedure of text mining techniques. Ethical considerations: This study was conducted under ethics approval from the institution where participants were recruited. Findings and discussion: The results of this study show that the teaching method utilizing news articles enhanced rational ethical deliberation from the cognitive aspect, whereas the teaching method utilizing panel discussion material strengthened the response to emotions on a more internal level. Conclusions: The teaching method utilizing news articles and panel discussion materials in public health ethics education is expected to be mutually complementary and effective, so further studies are recommended. © The Author(s) 2024.",285,"Codes of ethics, topic areas, moral sensitivity; ethics education, topic areas; narrative ethics, theory/philosophical perspectives; professional ethics, topic areas; topic areas","Adult; COVID-19; Curriculum; Education, Nursing, Baccalaureate; Ethics, Nursing; Female; Humans; Male; Public Health; Republic of Korea; SARS-CoV-2; Students, Nursing; adult; coronavirus disease 2019; curriculum; education; epidemiology; ethics; female; human; male; medical ethics; nursing education; nursing student; procedures; psychology; public health; Severe acute respiratory syndrome coronavirus 2; South Korea",0.1534898733370157
445,2022,Journal of Sociolinguistics,10.1111/josl.12552,Reflecting and forging master narratives: A discursive analysis of a Belgian WWII museum's curatorial selection process,"Sociolinguistics can help us grasp how collective memory cultures are (in part) shaped by representations of historic events through varied linguistic – and other – sources (e.g. education, news media, conversations and museum displays). In this study, we specifically zoom in on the curatorial selection process of a Belgian Second World War (WWII) memorial museum, whilst simultaneously exploring the reflexive relation between this curatorial process and the wider WWII remembrance context. To this end, we compare exhibited video testimony fragments to the full testimonies available in the museum's research centre, to examine which narratives were selected or silenced. Additionally, we confront fine-grained analyses of the testimonies with master narratives on WWII remembrance. As our analyses illustrate, the exhibited fragments align with these – typically coherent – master narratives, while the full testimonies are complex. Overall, we show that museums not only reflect master narratives, but are also sites for forging them. © 2022 John Wiley & Sons Ltd.",158,curatorial narrative; master narratives; memorial museum; silencing; testimonies; WWII remembrance,,0.0762631518137169
474,2022,Journal of Aging Studies,10.1016/j.jaging.2022.101009,A critical gerontological framing analysis of persistent ageism in NZ online news media: Don't call us “elderly”!,"This study presents a critical gerontological framing analysis of how and why the term “elderly” is presently used in online news media articles in New Zealand, and the potential consequences of such constructions. The article contributes to conceptual debates on aging and later life research by challenging ageist (albeit perhaps subconscious) media practices. Analysis of online news media articles in New Zealand was conducted over an 18-month period before, during and since COVID. Findings revealed that “elderly” was framed as powerless, in predominantly negative (74% of data) stereotypical messages about older adults. The remaining positive stereotypes (26%) used human impact framing. Narratives of “elderly” as vulnerable, declining and a ‘burden’ may be dependent on several factors, including the media's role in both constructing and reflecting ageist societal attitudes and actions towards older adults. Recommendations are given to support re-framing societal attitudes towards age equality through non-discriminatory, respectful language. © 2022 Elsevier Inc.",152,Ageism; Critical gerontological framing analysis; Elderly; Online news media; Stereotypes,Aged; Ageism; COVID-19; Geriatrics; Humans; Mass Media; New Zealand; aged; ageism; geriatrics; human; mass medium; New Zealand,0.07011325878353492
478,2024,Canadian Journal on Aging,10.1017/S0714980824000175,Framing Later Life Vulnerability during the COVID-19 Pandemic: A Content Analysis of Newspaper Coverage in Canada and the United States,"This study explores vulnerability narratives used in relation to older adults and others during the COVID-19 pandemic. A mixed-method content analysis was conducted of 391 articles published in two major newspapers in Canada and the USA during the first wave of the pandemic. The findings indicated that during the early months of the pandemic, limited attention was directed towards its impact on older adults or other 'vulnerable' subpopulations in both countries. Where evident, intrinsic (individual-level) risk factors were most consistently used to frame the vulnerability of older adults. In contrast, vulnerability was more likely to be framed as structural with regard to other subpopulations (e.g., ethno-racial minorities). These narratives also differed somewhat in Canadian and US newspapers. The framing of older adults as intrinsically vulnerable reflects ageist stereotypes and promotes downstream policy interventions. Greater attention is needed to the role of structural factors in influencing pandemic-related outcomes among older adults. © Canadian Association on Gerontology 2024.",156,aging; content analysis; COVID-19 pandemic; news media; vulnerability,Aged; Ageism; Canada; COVID-19; Humans; Newspapers as Topic; Pandemics; Risk Factors; SARS-CoV-2; United States; Vulnerable Populations; aged; ageism; Canada; coronavirus disease 2019; epidemiology; human; pandemic; psychology; publication; risk factor; Severe acute respiratory syndrome coronavirus 2; United States; vulnerable population,0.10479728665908244
488,2024,Journal of Children and Media,10.1080/17482798.2024.2302257,Teens and digital media: How do we move toward productive public discourse?,"In recent years, increased attention has been paid to possible linkages between youth digital media use and well-being. Greater scrutiny is certainly warranted, given how much time teens spend with technology and the escalating number of teens who struggle with their mental health. However, a negative frame has shaped much of the public discourse about the relationship teens share with technology. News media in particular have tended to vilify digital media as the central contributor to youth problems, amplifying adult fears and disregarding youth agency in the process. In this commentary, we argue that alternate media narratives are possible and more likely to be productive. Showcasing examples from popular fictional streaming programs Euphoria and Ginny & Georgia, we highlight how complicated, nuanced representations of teens’ digital media interactions can more realistically and poignantly address the contemporary moment. We conclude by challenging scholars to consider how they can engage with media storytellers, particularly journalists, in an effort to shape a public discourse about youth and digital media that is more accurate, meaningful, and productive. © 2024 Informa UK Limited, trading as Taylor & Francis Group.",184,Digital media; journalism; mental health; mobile phones; news; technology; teens; television; well-being; youth,,0.03714296082637908
507,2022,"3L: Language, Linguistics, Literature",10.17576/3L-2022-2802-02,Mental Models on Philippine English in Online Spaces: Challenges and Opportunities,"For the majority of the elite and educated Filipinos, there is no doubt that Philippine English finds its home as an acceptable variety of English. However, the narrative changes once focus is decentralized and democratized to include other speakers of English in the country who do not belong to this exclusive social category. Using online comments to an online news article and to an online quote card about Philippine English, this study investigated the acceptability of Philippine English among the users of a social media space. Comments were gathered and then analyzed using the arrangement of propositions from the prompt (the online article and quote card) to the determination and thematic categorization of mental models deployed by commenters to interpret received information. The analysis revealed that within the online platform where various realizations of English are welcome, Philippine English remains contested. This paper encourages the inclusive education and information dissemination that focus on Philippine English across sociolectal groups to strengthen the knowledge, acceptance, and educational implementation of the principles and concepts related to Philippine English. © 2022 Penerbit Universiti Kebangsaan Malaysia. All rights reserved.",184,acceptability; mental models; online space; Philippine English,,0.030291979029367724
511,2024,Ageing and Society,10.1017/S0144686X22001490,Negative ageism and compassionate ageism in news coverage of older people under COVID-19: how did the pandemic progression and public health responses associate with different news themes?,"Previous studies have found negative ageing narratives in the media during the COVID-19 pandemic. However, few have focused on compassionate ageism and how the news responded to the progression of the COVID-19 pandemic. We investigated (a) media themes of negative and compassionate ageism and (b) their relationships with COVID-19 parameters and the public health response. The sample included 1, 197 articles relevant to COVID-19 and older people in Hong Kong published between January and December 2020. We used thematic analysis to identify themes from the news articles and structural equation modelling to explore these themes' relationship with the number of older people infected, effective reproduction number, number of COVID-19 deaths and public health response parallel in time. Pandemic-related variables were lagged for a day - the time needed to be reflected in the news. Two negative ageism themes portrayed older people as vulnerable to COVID-19 but counterproductive in combating the pandemic. Two compassionate ageism themes depicted older people as a homogenous group of passive assistance recipients. The theme blaming older people was associated with the number of confirmed infections (β = 0.418, p = 0.002) but vulnerability of older people was not associated with pandemic-related variables. The theme helping older people was negatively associated with the percentage of older people in confirmed infections (β = -0.155, p = 0.019). The theme resources available was negatively associated with confirmed infections (β = -0.342, p < 0.001) but positively associated with the Containment and Health Index (β = 0.217, p = 0.005). Findings suggested that negative and compassionate ageism were translated into narratives about older people in the media as the pandemic evolved but did not address the actual risk they faced. Media professionals should be aware of the potential negative and compassionate ageism prompted by the news agenda and promote adequate health behaviours and responses. © The Author(s), 2023. Published by Cambridge University Press.",313,ageing narratives; health communication; news media; stereotype; stigma,China; Hong Kong; ageism; COVID-19; disease control; helping behavior; mass media; public health; vulnerability,0.12094098296690345
529,2024,"Journal of Infrastructure, Policy and Development",10.24294/jipd.v8i9.6168,Analysis of e-commerce problems and solutions from the perspective of policy actors in Indonesia,"E-commerce is increasingly developing as a platform large and small companies use to carry out online transactions with consumers. However, the development of e-commerce is also fraught with new environmental problems. Various problems occur, such as data leaks and fraud in buying and selling transactions. This research aims to deepen the study of the e-commerce environment from the perspective of local policymakers, and this research completes a study on the analysis of e-commerce problems and solutions from the perspective of policy actors. The development of e-commerce still has an unsafe environment; the potential for fraud and data leakage is still significant, and a government response is needed, such as creating new regulations or revising existing regulations. This research uses qualitative analysis with a content analysis approach and national online news media as research data and information sources. Nvivo 12 Plus software was used to identify problems and solutions offered by actors in their narratives in the media. The results of this research show that data leaks and e-commerce have the potential to threaten the country’s resilience, conventional businesses are threatened with closure, and policymakers are shifting responsibility for overcoming e-commerce problems. Current regulations still need to be made appropriately to overcome e-commerce problems. © 2024 by author(s).",207,e-commerce; public policy; regulation; solutions,,0.02203152057716973
540,2024,Journalism and Mass Communication Quarterly,10.1177/10776990221095751,A Matter of Perspective: An Experimental Study on Potentials of Constructive Journalism for Communicating a Crisis,"Restorative narratives describe a new form of journalism that attempts to overcome the detrimental effects of the more prevalent negative and destructive tone of news coverage. This study investigates the potentials and risks of restorative narratives in the coverage of crises with a 2 (restorative/negative) × 2 (COVID-19/climate crisis) experimental online study (n = 829) for emotional, cognitive, evaluative, and behavioral outcomes. For both crises, results demonstrate that restorative narratives evoked more positive emotional reactions to the news, were more likely to be endorsed, and improved quality ratings of the news article compared with negative narratives. We found no effects for elaboration and information-seeking. © 2022 The Author(s).",108,constructive journalism; experimental research; restorative narrative,COVID-19; experimental study; Internet; media industry,0.13585478084390434
544,2023,PLoS ONE,10.1371/journal.pone.0285207,Groundhog Day in the emergency department: A systematic review of 20 years of news coverage in Australia,"This study examined how the Australian news media have portrayed public hospital Emergency Departments (EDs) over the last two decades. A systematic review and media frame analysis, searching Factiva and Australia and New Zealand News Stream for digital and print news articles published between January 2000 and January 2020. Eligibility criteria were (1) discussed EDs in public hospitals; (2) the primary focus of the article was the ED; (3) focused on the Australian context; (4) were published by one of the Australian state-based news outlets (e.g., The Sydney Morning Herald, Herald Sun). A pair of reviewers independently screened 242 articles for inclusion according to the pre-established criteria. Discrepancies were resolved via discussion. 126 articles met the inclusion criteria. Pairs of independent reviewers identified frames in 20% of the articles using an inductive approach to develop a framework for coding the remaining articles. News media rely heavily on reporting problems within and with the ED, while also proposing a cause. Praise for EDs was minimal. Opinions were primarily from government spokespeople, professional associations, and doctors. ED performance was often reported as fact, with no reference to the source of the information. Rhetorical framing devices, such as hyperbole and imagery, were used to emphasise dominant themes. The negative bias inherent in news media reporting of EDs could potentially damage public awareness of ED functioning, with implications for the likelihood of the public's accessing ED services. Like in the film Groundhog Day, news media reporting is stuck in a loop reporting the same narrative over and over again. Copyright: © 2023 Austin et al. This is an open access article distributed under the terms of the Creative Commons Attribution License, which permits unrestricted use, distribution, and reproduction in any medium, provided the original author and source are credited.",295,,"Australia; Emergency Service, Hospital; Mass Media; Motion Pictures; New Zealand; article; Australia; awareness; eligibility criteria; emergency ward; government; human; human experiment; imagery; narrative; praise; public hospital; sun; systematic review; Australia; hospital emergency service; mass medium; New Zealand",0.08676511751079696
560,2024,Journal of Business Research,10.1016/j.jbusres.2023.114289,Sensational stories: The role of narrative characteristics in distinguishing real and fake news and predicting their spread,"Media content – whether real or fake – is often presented in a story format. While research has examined some of the linguistic differences between real and fake news articles, less attention has been given to the ways in which they vary in terms of their narrativity. The current work leverages text analysis to build on recent work in the consumer field examining narrativity in predicting messages’ persuasiveness. We conduct three studies in the context of real and fake news to examine how they differ in terms of their narrative content and discourse features. We further examine how variation in narrativity predicts the likelihood that the article is shared on social media, an outcome of importance to marketers and persuasion agents. © 2023 Elsevier Inc.",125,Fake news; Narrative; Sharing behavior; Social media,,0.025676431868136146
575,2024,Eurasian Journal of Applied Linguistics,10.32601/ejal.10303,"Intertextuality in Kazakh, Russian, and English-language Media","Intertextuality, defined as the presence of one text within another, is a powerful tool in shaping media narratives and engaging audiences. This study explores intertextuality in Kazakh, Russian, and English-language media, examining how precedent expressions like quotes, allusions, proverbs, and aphorisms sued as media texts interact across cultural and linguistic contexts, and how these three linguistic landscapes use these expressions to reinforce messages, establish authority, and foster a sense of cultural identity. The study used a mixed method research approach, wherein the quantitative phase determined how precedent expressions were perceived by young people, through a survey whose data was analyzed through a Python-based program utilizing artificial intelligence. The qualitative phase made use of linguacultural analysis of literary texts, contextual analysis, synthesis, by using a comparative method. The sampling of the media texts was made from leading Kazakh, Russian, and English-language media sources, including news articles, and social media posts published over the past two years. Purposeful sampling technique was adopted to ensure that the selection of texts was rich in intertextual references, including precedent phenomena and culturally significant expressions. The findings of the study revealed the semantic content of these precedent phenomena and demonstrated national and cultural characteristics. The study found common patterns in intertextual practices across all three media types, illustrating how intertextuality enhanced narrative depth and bridged cultural and historical contexts. Despite differences in cultural emphasis, intertextuality in each media landscape engages readers, added layers of meaning, and shapes public discourse. These findings have significant implications for cross-cultural media analysis, suggesting that understanding intertextuality can enhance translation practices, improve cultural adaptation in media, and contribute to the development of media literacy programs. © 2024 EJAL & the Authors.",280,Aphorisms; Artificial Intelligence; Intertextuality; Media; Precedent Expression; Python Programming,,0.09206044520496828
589,2024,International Journal of Cultural Policy,10.1080/10286632.2023.2268648,Mediations of cultural policymaking during COVID-19: British newspaper reporting of the Culture Recovery Fund,"At the height of the COVID-19 pandemic, cultural policymaking frequently came to the fore in media debates about the impact of the crisis and measures to alleviate it. In this article, we present evidence of how newspaper coverage of the cultural and creative industries (CCIs) identified and framed competing perceptions of the relative utility of policymaking in this context, while also problematising familiar assumptions about the CCIs among policymakers, journalists and (arguably) the public. Specifically, we analysed British news and editorial items (n.4,162) published from 1 January 2020 to 31 December 2020. It offers a novel investigation into the ways in which media and policy rhetoric overlap, interact and influence each other. In doing so, this article contributes a unique perspective to the study and practice of cultural policy, bringing to light the typically underexplored role of the news media in shaping the narratives driving cultural policy deliberation and action. © 2023 The Author(s). Published by Informa UK Limited, trading as Taylor & Francis Group.",165,COVID-19; cultural and creative industries (CCIs); Cultural policy; Culture Recovery Fund (CRF); media,,0.0735899255559715
607,2023,American Behavioral Scientist,10.1177/00027642221096335,US Hypocrisy and the End of American Exceptionalism? Narratives of the January 6th Attack on the US Capitol From Illiberal National Media,"Despite the United States being the only country in the world that places its former and incoming leader on a stage for millions to see, with the “Peaceful Transition of Power” being the very symbol of American democracy watched around the world, the events on January 6th, 2021, show how such performances of democratic culture are not permanent fixtures. Indeed, whereas US and foreign audiences have become accustomed to watching anti-government protests in illiberal states or underdeveloped democracies, the scenes of thousands of protestors storming the US Capitol has opened the United States itself for critique from the very nations it has admonished in the past. Thus, although the protest paradigm has become the dominant framework for understanding mediated portrayals of anti-government protests, this study argues it provides only partial insight into the January 6th insurrection, eschewing the larger strategic dimensions of non-democratic countries’ media coverage of the event. Rather than focusing on how media framed the event, this study examined 525 news articles from 26 Chinese, Russian, Iranian, and Saudi media outlets’ reporting on the event from January 5th to January 19th through the lens of strategic media narratives. Results show that while elements of the protest paradigm are present in all four countries’ reporting—providing clear condemnation of the event and its participants, with blame placed on President Trump for instigating the attack—two additional overarching plotlines emerge: one shifting the scene away from President Trump to America’s broader polarized politics and failed governance and a second concluding the end of US exceptionalism and characterizations of US hypocrisy. Taken together, these two overarching narratives highlight the significance of storytelling as a potent form of geopolitical contestation in today’s global media environment. © 2022 SAGE Publications.",285,comparative media; democracy; narrative; protest paradigm; soft power,,0.0275984572047899
613,2024,Eurasian Journal of Applied Linguistics,10.32601/ejal.10321,"Role of Code-Switching and Componential Analysis in Conflictogeme Transfer in English, Russian, and Kazakh Media","Conflicts are an integral part of human communication, significantly shaping social processes and interaction. Conflict is often escalated in news discourse across three linguistic and cultural contexts: English, Russian, and Kazakh. By applying componential analysis, the current study aims to explores the structural and semantic features of key linguistic units, as well as patterns of code-switching, which serve as significant indicators of cultural and linguistic dynamics. The central concept of the research is conflictogema, which refers to the linguistic and rhetorical strategies that shape conflict narratives in the media. The empirical data consists of an analysis of news articles and video interviews with Kazakh-speaking respondents on Instagram and TikTok platforms. The main findings highlight notable differences in the use of modality, attribution, and framing techniques, reflecting distinct cultural approaches to the perception of conflict. The study underscores the crucial role of language in shaping social perceptions of conflict and its impact on intercultural communication and media literacy. These insights provide a deeper understanding of conflict resolution processes and offer a critical perspective on how media narratives influence public opinion. © 2024 EJAL & the Authors.",185,Bilingualism; Code-Switching; Componential Analysis; Conflictogema; Intercultural Communication; Media Discourse,,0.09174746001251613
